draw,direction,method,adapter_id,shared,stem,hum,balanced,target_weighted,dsmc_minus_method_balanced,dsmc_minus_method_target_weighted
hum80_draw3,hum80,dsmc,hum80_draw3_dsmc_seed3,0,0.3838,0.4261,0.4050,0.4175,0.0000,0.0000
hum80_draw3,hum80,less,hum80_draw3_less_seed3,0,0.3844,0.3970,0.3907,0.3945,0.0142,0.0231
hum80_draw3,hum80,first_rr,hum80_draw3_first_rr_seed3,0,0.3559,0.4096,0.3827,0.3987,0.0222,0.0189
hum80_draw3,hum80,second_rr,hum80_draw3_second_rr_seed3,0,0.3708,0.4206,0.3957,0.4105,0.0093,0.0070
hum80_draw3,hum80,gist,hum80_draw3_gist_seed3,0,0.3739,0.4011,0.3875,0.3956,0.0175,0.0220
hum80_draw3,hum80,nice,hum80_draw3_nice_seed3,0,0.3711,0.4289,0.4000,0.4172,0.0050,0.0004
hum80_draw3,hum80,randk,randk_drawidx3_seed3,1,0.3888,0.4368,0.4128,0.4270,-0.0079,-0.0095
hum80_draw3,hum80,randk_lenmatch,hum80_draw3_randk_lenmatch_seed3,0,0.3787,0.4251,0.4019,0.4157,0.0031,0.0019
hum80_draw4,hum80,dsmc,hum80_draw4_dsmc_seed4,0,0.3717,0.4281,0.3999,0.4166,0.0000,0.0000
hum80_draw4,hum80,less,hum80_draw4_less_seed4,0,0.3812,0.4081,0.3947,0.4026,0.0052,0.0140
hum80_draw4,hum80,first_rr,hum80_draw4_first_rr_seed4,0,0.3587,0.3983,0.3785,0.3903,0.0214,0.0264
hum80_draw4,hum80,second_rr,hum80_draw4_second_rr_seed4,0,0.3701,0.4283,0.3992,0.4165,0.0007,0.0002
hum80_draw4,hum80,gist,hum80_draw4_gist_seed4,0,0.3777,0.4026,0.3901,0.3975,0.0097,0.0191
hum80_draw4,hum80,nice,hum80_draw4_nice_seed4,0,0.3539,0.4327,0.3933,0.4167,0.0065,-0.0001
hum80_draw4,hum80,randk,randk_drawidx4_seed4,1,0.3749,0.4353,0.4051,0.4230,-0.0052,-0.0064
hum80_draw4,hum80,randk_lenmatch,hum80_draw4_randk_lenmatch_seed4,0,0.3717,0.4340,0.4029,0.4214,-0.0030,-0.0047
